대여소_ID,대여건수,반납건수,총이용건수,주소1,주소2,위도,경도
ST-311,41531.0,44996.0,86527.0,서울특별시 양천구 오목로 344 청학빌딩,,37.523628,126.875244
ST-292,42641.0,43802.0,86443.0,서울특별시 영등포구 양평동3가 48-1,이앤씨드림타워 앞,37.527084,126.89138
ST-3163,40865.0,45062.0,85927.0,서울특별시 양천구 목동 404-174,,37.52367,126.875671
ST-2740,42179.0,43609.0,85788.0,서울특별시 강동구 풍성로 136 성내동삼성아파트,,37.531376,127.127075
ST-455,39114.0,46125.0,85239.0,서울특별시 은평구 은평로 85 CJ드림시티,,37.599495,126.916985
ST-1866,42485.0,41930.0,84415.0,서울특별시 송파구 백제고분로 365 태문빌딩,,37.505505,127.106575
ST-1645,41534.0,42185.0,83719.0,서울특별시 강서구 방화대로7길 6,마곡13단지,37.55645,126.815979
ST-2865,41356.0,42255.0,83611.0,서울특별시 광진구 자양번영로 38,,37.532936,127.075806
ST-1440,42007.0,40989.0,82996.0,서울특별시 중구 청계천로 400 롯데캐슬베네치아,,37.571014,127.019745
ST-1519,41506.0,41273.0,82779.0,서울특별시 강서구 공항대로 376,KBS 스포츠월드,37.556877,126.848808
ST-2168,40697.0,41954.0,82651.0,서울특별시 마포구 동교동 155-6,,37.558296,126.925385
ST-2013,41479.0,40794.0,82273.0,서울특별시 양천구 신정동 204-20,,37.507904,126.862648
ST-1474,40759.0,41207.0,81966.0,서울특별시 노원구 동일로 986,태릉입구역 5번출구와 6번출구 사이,37.61832,127.07563
ST-1687,38778.0,43166.0,81944.0,서울특별시 강동구 강동대로 205,JYP 사옥앞,37.52393,127.129128
ST-398,39759.0,42112.0,81871.0,서울특별시 동대문구 천호대로 269,답십리역 1번출구,37.568184,127.051277
ST-278,40352.0,41479.0,81831.0,서울특별시 영등포구 양평동4가 202-1,선유도역 3번출구 앞,37.53846,126.894508
ST-1689,41422.0,40346.0,81768.0,서울특별시 강서구 마곡중앙로 76,힐스테이트에코마곡역,37.560242,126.827164
ST-3060,39398.0,42075.0,81473.0,서울특별시 노원구 공릉로 213 동신아파트,,37.627861,127.076378
ST-2085,39653.0,41667.0,81320.0,서울특별시 노원구 동일로204길 13 노원평생학습관,,37.640205,127.067619
ST-66,40306.0,40971.0,81277.0,서울특별시 영등포구 국제금융로8길 2,NH농협은행 앞,37.522079,126.930367
ST-2760,40381.0,40636.0,81017.0,서울특별시 양천구 목동동로 180 신정동 아이파크,,37.521095,126.873207
ST-1964,40539.0,40458.0,80997.0,서울특별시 구로구 경인로 673-1 가로판매대,,37.510063,126.889565
ST-2979,39696.0,41203.0,80899.0,서울특별시 마포구 연남로 42 코오롱하늘채아파트,,37.563065,126.921494
ST-2765,40185.0,40686.0,80871.0,서울특별시 양천구 목동동로 53 동문굿모닝탑Ⅰ,,37.514812,126.861176
ST-2024,40193.0,40532.0,80725.0,서울특별시 강서구 가양동 18-23,,37.564682,126.848907
ST-2396,40157.0,40265.0,80422.0,서울특별시 양천구 목동동로 81 해누리타운,,37.515842,126.864113
ST-1510,40675.0,39622.0,80297.0,서울특별시 강서구 공항대로 411,강서구청사거리(SH타워),37.556736,126.853073
ST-1275,41548.0,38577.0,80125.0,서울특별시 구로구 공원로 15,구로도서관,37.498516,126.891991
ST-1083,39889.0,39846.0,79735.0,서울특별시 송파구 풍납동 490-16,천호역 10번 출구 앞,37.538582,127.122803
ST-2177,38786.0,40876.0,79662.0,서울특별시 용산구 한강대로23길 25,,37.528416,126.96595
ST-1539,39910.0,39487.0,79397.0,서울특별시 영등포구 선유로 213,선유중학교 정문,37.532101,126.89444
ST-1041,39141.0,40051.0,79192.0,서울특별시 강동구 성내로 28 강동빌딩,,37.529297,127.123154
ST-3212,39606.0,39551.0,79157.0,서울특별시 영등포구 당산로 83,,37.521954,126.895508
ST-495,39627.0,39452.0,79079.0,서울특별시 강동구 성내동 450-31,,37.534744,127.135284
ST-2844,39564.0,39334.0,78898.0,서울특별시 양천구 목동동로 430 목동신시가지아파트6단지,,37.533157,126.884087
ST-2020,38805.0,39872.0,78677.0,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥,,37.558521,126.854012
ST-2040,37720.0,40674.0,78394.0,서울특별시 강서구 마곡동 789-10,,37.560894,126.836693
ST-2036,39006.0,39287.0,78293.0,서울특별시 강서구 공항대로 195 힐스테이트에코동익,,37.559658,126.829605
ST-750,38988.0,39250.0,78238.0,서울특별시 서초구 신반포로 지하 188,서초구 잠원동 101,37.506199,127.003944
ST-2270,38053.0,39739.0,77792.0,서울특별시 동대문구 망우로 74,,37.589676,127.061516
ST-835,37413.0,40186.0,77599.0,서울특별시 강서구 강서로 304,강서구 내발산동 724-42,37.552914,126.836571
ST-3239,38958.0,38493.0,77451.0,서울특별시 영등포구 여의대로 128,,37.528332,126.930176
ST-2005,37562.0,39668.0,77230.0,서울특별시 양천구 신정동 1145,,37.518543,126.853882
ST-3084,37198.0,40012.0,77210.0,서울특별시 강서구 가양동 14-26,,37.562508,126.852753
ST-2993,38552.0,38542.0,77094.0,서울특별시 강서구 강서구 마곡동 798-17,,37.558235,126.82576
ST-1546,36344.0,40664.0,77008.0,서울특별시 관악구 신림동 518,,37.486824,126.912834
ST-1015,39156.0,37632.0,76788.0,서울특별시 양천구 목동중앙로 212 앞,신목동역 2번 출구,37.543842,126.882545
ST-1855,38023.0,38618.0,76641.0,서울특별시 송파구 문정동 55-13,,37.486698,127.122444
ST-2965,38334.0,38265.0,76599.0,서울특별시 강서구 마곡동 748-4,,37.556763,126.818695
ST-175,37721.0,38814.0,76535.0,서울특별시 종로구 숭인동 81-39,동묘앞역 1번출구 뒤,37.573242,127.015907
ST-2761,37696.0,38786.0,76482.0,서울특별시 양천구 신월로 342-1 구두수선대19,,37.52198,126.859283
ST-294,37999.0,38400.0,76399.0,서울특별시 영등포구 당산동4가 35-24,삼성생명 당산사옥 앞,37.528263,126.896629
ST-1137,34515.0,41715.0,76230.0,서울특별시 노원구 창동 74-2,창동역 2번출구,37.653015,127.046997
ST-2309,37734.0,38339.0,76073.0,서울 광진구 아차산로 426,,37.537807,127.089767
ST-2411,38086.0,37973.0,76059.0,서울특별시 강서구 마곡서1로 60,,37.562092,126.820969
ST-445,41644.0,34330.0,75974.0,서울특별시 광진구 군자동 374-8,광진광장 교통섬,37.547829,127.072632
ST-2314,37878.0,37780.0,75658.0,서울특별시 광진구 아차산로 360 서원빌딩,,37.536575,127.082581
ST-824,37242.0,38233.0,75475.0,서울특별시 강서구 양천로24길 13 마곡센트레빌,,37.572563,126.816422
ST-285,36661.0,38260.0,74921.0,서울특별시 영등포구 문래동3가 68-1,문래동자이아파트 앞,37.516155,126.894615
ST-1701,38940.0,35963.0,74903.0,서울특별시 영등포구 버드나루로 125,충북 미래관,37.529171,126.907578
ST-1002,36449.0,38048.0,74497.0,서울특별시 양천구 목동동로 316-6,서울시 도로환경관리센터,37.5299,126.876541
ST-1851,37691.0,36652.0,74343.0,서울특별시 송파구 백제고분로37길 16 석촌동주민센터,,37.503624,127.103554
ST-516,35518.0,38824.0,74342.0,서울특별시 강서구 양천로 지하 560,강서구 등촌동 666-40,37.557461,126.861458
ST-1793,36971.0,36966.0,73937.0,서울특별시 송파구 양재대로 925 가락1동주민센터,,37.50005,127.111511
ST-1688,36141.0,37741.0,73882.0,서울특별시 강서구 공항대로 227,마곡센트럴타워 1차,37.559471,126.832077
ST-1586,36817.0,36988.0,73805.0,서울특별시 송파구 석촌호수로12길 1-16,석촌호수교차로(동호 팔각정 앞),37.509201,127.104118
ST-1867,36351.0,37400.0,73751.0,서울특별시 송파구 잠실로 88 레이크팰리스,,37.507759,127.091293
ST-492,33708.0,39981.0,73689.0,서울특별시 강동구 올림픽로 767,,37.549355,127.127083
